"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prueba2-Ldonovani.gff","Prueba2-Linfantum.gff","Prueba2-LmajorFriedlin.gff","Prueba2-Tbruceigambiense.gff","Prueba2-TcruziCLBrenerEsmeraldo-like.gff","Prueba2-TcruziCLBrenerNon-Esmeraldo-like.gff","Prueba2-Tevansis.gff"
"group_3024","","","3","3","1","1","3891","1","5602","","620","620","620","LdBPK_270880.1","LINF_270016500","LmjF.27.1020","","","",""
"group_3025","","","3","3","1","1","3895","1","5604","","2000","2000","2000","LdBPK_270920.1","LINF_270016900","LmjF.27.1050","","","",""
"group_3026","","","3","3","1","1","3777","1","5606","","2993","2993","2993","LdBPK_270940.1","LINF_270017100","LmjF.27.1070","","","",""
"group_3027","","","3","3","1","1","3775","1","5608","","590","593","592","LdBPK_270960.1","LINF_270017300","LmjF.27.1090","","","",""
"group_3028","","","3","3","1","1","3774","1","5609","","1940","1943","1941","LdBPK_270970.1","LINF_270017400","LmjF.27.1100","","","",""
"group_3029","","","3","3","1","1","3773","1","5610","","704","704","704","LdBPK_270980.1","LINF_270017500","LmjF.27.1110","","","",""
"group_3031","","","3","3","1","1","3769","1","5615","","725","737","729","LdBPK_271050.1","LINF_270018100","LmjF.27.1170","","","",""
"group_3032","","","3","3","1","1","3768","1","5616","","1268","1268","1268","LdBPK_271060.1","LINF_270018200","LmjF.27.1180","","","",""
"group_3035","","","3","3","1","1","3764","1","5624","","677","677","677","LdBPK_271190.1","LINF_270019400","LmjF.27.1280","","","",""
"group_3036","","","3","3","1","1","3763","1","5625","","1190","1190","1190","LdBPK_271200.1","LINF_270019500","LmjF.27.1290","","","",""
"group_3037","","","3","3","1","1","3762","1","5627","","2078","2078","2078","LdBPK_271230.1","LINF_270019800","LmjF.27.1310","","","",""
"group_3038","","","3","3","1","1","3759","1","5628","","1802","1802","1802","LdBPK_271240.1","LINF_270019900","LmjF.27.1320","","","",""
"group_3039","","","3","3","1","1","3757","1","5630","","1082","1187","1117","LdBPK_271260.1","LINF_270020100","LmjF.27.1340","","","",""
"group_3040","","","3","3","1","1","3756","1","5631","","947","953","949","LdBPK_271270.1","LINF_270020200","LmjF.27.1350","","","",""
"group_3041","","","3","3","1","1","3754","1","5633","","4556","4574","4564","LdBPK_271290.1","LINF_270020400","LmjF.27.1370","","","",""
"group_3043","","","3","3","1","1","3750","1","5639","","1919","1928","1922","LdBPK_271330.1","LINF_270020760","LmjF.27.1420","","","",""
"group_3047","","","3","3","1","1","3746","1","5642","","2558","2561","2559","LdBPK_271360.1","LINF_270021400","LmjF.27.1450","","","",""
"group_3048","","","3","3","1","1","3744","1","5644","","4040","4043","4042","LdBPK_271380.1","LINF_270021600","LmjF.27.1480","","","",""
"group_3049","","","3","3","1","1","3743","1","5645","","2093","2102","2096","LdBPK_271390.1","LINF_270021700","LmjF.27.1490","","","",""
"group_3050","","","3","3","1","1","3741","1","5648","","326","326","326","LdBPK_271430.1","LINF_270022100","LmjF.27.1530","","","",""
"group_3051","","","3","3","1","1","3737","1","5652","","1301","1307","1303","LdBPK_271490.1","LINF_270022500","LmjF.27.1570","","","",""
"group_3053","","","3","3","1","1","3734","1","5656","","656","791","701","LdBPK_271510.1","LINF_270022900","LmjF.27.1600","","","",""
"group_3054","","","3","3","1","1","3730","1","5658","","641","644","642","LdBPK_271520.1","LINF_270023100","LmjF.27.1620","","","",""
"group_3055","","","3","3","1","1","3729","1","5659","","2525","2525","2525","LdBPK_271530.1","LINF_270023200","LmjF.27.1630","","","",""
"group_3056","","","3","3","1","1","3728","1","5661","","2744","2747","2746","LdBPK_271540.1","LINF_270023300","LmjF.27.1640","","","",""
"group_3058","","","3","3","1","1","3724","1","5666","","1850","1850","1850","LdBPK_271590.1","LINF_270023900","LmjF.27.1690","","","",""
"group_3059","","","3","3","1","1","3723","1","5667","","2066","2324","2152","LdBPK_271600.1","LINF_270024000","LmjF.27.1700","","","",""
"group_3061","","","3","3","1","1","3359","1","1533","","1019","1022","1020","LdBPK_271630.1","LINF_270024200","LmjF.27.1730","","","",""
"group_3062","","","3","3","1","1","3357","1","1531","","13364","13367","13366","LdBPK_271650.1","LINF_270024300","LmjF.27.1750","","","",""
"group_3063","","","3","3","1","1","3356","1","1530","","1715","1715","1715","LdBPK_271660.1","LINF_270024400","LmjF.27.1760","","","",""
"group_3064","","","3","3","1","1","3355","1","1529","","4172","4499","4281","LdBPK_271670.1","LINF_270024500","LmjF.27.1770","","","",""
"group_3065","","","3","3","1","1","3354","1","1528","","1682","1706","1698","LdBPK_271680.1","LINF_270024600","LmjF.27.1780","","","",""
"group_3066","","","3","3","1","1","3353","1","1527","","2525","3140","2730","LdBPK_271690.1","LINF_270024700","LmjF.27.1790","","","",""
"group_3067","","","3","3","1","1","3352","1","1526","","5186","5228","5214","LdBPK_271700.1","LINF_270024800","LmjF.27.1800","","","",""
"group_3068","","","3","3","1","1","3348","1","1521","","5174","5174","5174","LdBPK_271740.1","LINF_270025300","LmjF.27.1840","","","",""
"group_3069","","","3","3","1","1","3346","1","1520","","2339","2348","2342","LdBPK_271750.1","LINF_270025400","LmjF.27.1850","","","",""
"group_3070","","","3","3","1","1","3341","1","1515","","737","737","737","LdBPK_271810.1","LINF_270026000","LmjF.27.1900","","","",""
"group_3071","","","3","3","1","1","3338","1","1513","","2018","3833","2623","LdBPK_271830.1","LINF_270026200","LmjF.27.1920","","","",""
"group_3072","","","3","3","1","1","3337","1","1512","","1064","1064","1064","LdBPK_271840.1","LINF_270026300","LmjF.27.1930","","","",""
"group_3073","","","3","3","1","1","3336","1","1511","","779","779","779","LdBPK_271850.1","LINF_270026400","LmjF.27.1945","","","",""
"group_3074","","","3","3","1","1","3335","1","1510","","2867","2882","2875","LdBPK_271860.1","LINF_270026500","LmjF.27.1940","","","",""
"group_3075","","","3","3","1","1","3333","1","1508","","755","1691","1067","LdBPK_271930.1","LINF_270027200","LmjF.27.2010","","","",""
"group_3076","","","3","3","1","1","3331","1","1462","","1202","1205","1204","LdBPK_271950.1","LINF_270027400","LmjF.27.2030","","","",""
"group_3077","","","3","3","1","1","3330","1","1461","","683","686","685","LdBPK_271960.1","LINF_270027500","LmjF.27.2040","","","",""
"group_3078","","","3","3","1","1","3327","1","1458","","2558","2558","2558","LdBPK_271990.1","LINF_270027800","LmjF.27.2070","","","",""
"group_3079","","","3","3","1","1","3326","1","1457","","248","248","248","LdBPK_272000.1","LINF_270027900","LmjF.27.2080","","","",""
"group_3080","","","3","3","1","1","3325","1","1456","","446","446","446","LdBPK_272010.1","LINF_270028000","LmjF.27.2090","","","",""
"group_3081","","","3","3","1","1","3323","1","1454","","1013","1013","1013","LdBPK_272040.1","LINF_270028300","LmjF.27.2120","","","",""
"group_3085","","","3","3","1","1","3314","1","1448","","1037","1040","1038","LdBPK_272140.1","LINF_270029400","LmjF.27.2220","","","",""
"group_3086","","","3","3","1","1","3313","1","1447","","6377","6818","6524","LdBPK_272150.1","LINF_270029500","LmjF.27.2230","","","",""
"group_3087","","","3","3","1","1","3309","1","1443","","2159","2297","2205","LdBPK_272210.1","LINF_270030200","LmjF.27.2290","","","",""
"group_3088","","","3","3","1","1","3308","1","1440","","1250","1250","1250","LdBPK_272280.1","LINF_270030900","LmjF.27.2337","","","",""
"group_3089","","","3","3","1","1","3307","1","1438","","1469","1469","1469","LdBPK_272290.1","LINF_270031600","LmjF.27.2340","","","",""
"group_3090","","","3","3","1","1","3303","1","1437","","1343","1343","1343","LdBPK_272400.1","LINF_270032700","LmjF.27.2450","","","",""
"group_3091","","","3","3","1","1","3300","1","1433","","899","899","899","LdBPK_272410.1","LINF_270032800","LmjF.27.2460","","","",""
"group_3092","","","3","3","1","1","3299","1","1432","","13016","13016","13016","LdBPK_272460.1","LINF_270033300","LmjF.27.2590","","","",""
"group_3097","","","3","3","1","1","1717","1","1141","","1553","1775","1627","LdBPK_280190.1","LINF_280006800","LmjF.28.0190","","","",""
"group_3098","","","3","3","1","1","1719","1","1143","","428","428","428","LdBPK_280210.1","LINF_280007000","LmjF.28.0210","","","",""
"group_3099","","","3","3","1","1","1741","1","1160","","1826","1826","1826","LdBPK_280240.1","LINF_280007300","LmjF.28.0240","","","",""
"group_3100","","","3","3","1","1","1742","1","1166","","1568","1568","1568","LdBPK_280260.1","LINF_280007400","LmjF.28.0490","","","",""
"group_3101","","","3","3","1","1","1723","1","1164","","2390","2390","2390","LdBPK_280290.1","LINF_280007700","LmjF.28.0470","","","",""
"group_3102","","","3","3","1","1","1725","1","1162","","2828","2891","2849","LdBPK_280310.1","LINF_280007900","LmjF.28.0450","","","",""
"group_3103","","","3","3","1","1","1726","1","1145","","2324","2324","2324","LdBPK_280320.1","LINF_280008000","LmjF.28.0440","","","",""
"group_3104","","","3","3","1","1","1728","1","1147","","1967","2060","1998","LdBPK_280350.1","LINF_280008300","LmjF.28.0410","","","",""
"group_3105","","","3","3","1","1","1732","1","1149","","2789","2789","2789","LdBPK_280380.1","LINF_280009800","LmjF.28.0390","","","",""
"group_3106","","","3","3","1","1","1739","1","1158","","1028","1028","1028","LdBPK_280460.1","LINF_280009100","LmjF.28.0320","","","",""
"group_3107","","","3","3","1","1","1738","1","1155","","2762","2978","2834","LdBPK_280470.1","LINF_280009200","LmjF.28.0330","","","",""
"group_3108","","","3","3","1","1","1737","1","1154","","3461","3461","3461","LdBPK_280480.1","LINF_280009300","LmjF.28.0340","","","",""
"group_3109","","","3","3","1","1","1736","1","1153","","728","728","728","LdBPK_280490.1","LINF_280009400","LmjF.28.0350","","","",""
"group_3110","","","3","3","1","1","1735","1","1152","","863","863","863","LdBPK_280500.1","LINF_280009500","LmjF.28.0360","","","",""
"group_3111","","","3","3","1","1","1734","1","1151","","377","614","456","LdBPK_280510.1","LINF_280009600","LmjF.28.0370","","","",""
"group_3112","","","3","3","1","1","1733","1","1150","","1178","1178","1178","LdBPK_280520.1","LINF_280009700","LmjF.28.0380","","","",""
"group_3113","","","3","3","1","1","1743","1","1167","","2138","2138","2138","LdBPK_280530.1","LINF_280010000","LmjF.28.0500","","","",""
"group_3114","","","3","3","1","1","1744","1","1169","","1157","1157","1157","LdBPK_280540.1","LINF_280010100","LmjF.28.0510","","","",""
"group_3115","","","3","3","1","1","2071","1","1175","","860","860","860","LdBPK_280590.1","LINF_280010600","LmjF.28.0560","","","",""
"group_3118","","","3","3","1","1","2073","1","1177","","4724","4739","4729","LdBPK_280610.1","LINF_280010900","LmjF.28.0580","","","",""
"group_3119","","","3","3","1","1","2074","1","1178","","1505","1571","1527","LdBPK_280630.1","LINF_280011000","LmjF.28.0590","","","",""
"group_312","","","3","3","1","1","4527","1","3548","","107","458","341","LdBPK_040670.1","LINF_040011800","LmjF.04.0670","","","",""
"group_3120","","","3","3","1","1","2075","1","1179","","287","287","287","LdBPK_280640.1","LINF_280011100","LmjF.28.0600","","","",""
"group_3121","","","3","3","1","1","2076","1","1180","","12710","12815","12750","LdBPK_280650.1","LINF_280011200","LmjF.28.0610","","","",""
"group_3122","","","3","3","1","1","2078","1","1182","","659","659","659","LdBPK_280670.1","LINF_280011400","LmjF.28.0630","","","",""
"group_3123","","","3","3","1","1","2080","1","1184","","1022","1022","1022","LdBPK_280700.1","LINF_280011700","LmjF.28.0660","","","",""
"group_3124","","","3","3","1","1","2084","1","1186","","701","701","701","LdBPK_280720.1","LINF_280011900","LmjF.28.0680","","","",""
"group_3125","","","3","3","1","1","2086","1","1190","","1757","1757","1757","LdBPK_280760.1","LINF_280012300","LmjF.28.0710","","","",""
"group_3126","","","3","3","1","1","2087","1","1191","","1682","1682","1682","LdBPK_280770.1","LINF_280012400","LmjF.28.0720","","","",""
"group_3127","","","3","3","1","1","2094","1","1197","","1508","1514","1510","LdBPK_280880.1","LINF_280013500","LmjF.28.0820","","","",""
"group_3128","","","3","3","1","1","2095","1","1198","","758","761","759","LdBPK_280890.1","LINF_280013600","LmjF.28.0822","","","",""
"group_3129","","","3","3","1","1","2096","1","1199","","428","431","430","LdBPK_280900.1","LINF_280013700","LmjF.28.0825","","","",""
"group_3130","","","3","3","1","1","2097","1","1200","","1598","1598","1598","LdBPK_280910.1","LINF_280013800","LmjF.28.0830","","","",""
"group_3131","","","3","3","1","1","2098","1","1201","","530","533","531","LdBPK_280920.1","LINF_280013900","LmjF.28.0835","","","",""
"group_3132","","","3","3","1","1","2099","1","1202","","2609","2612","2611","LdBPK_280930.1","LINF_280014000","LmjF.28.0840","","","",""
"group_3133","","","3","3","1","1","2103","1","1206","","4415","4415","4415","LdBPK_281000.1","LINF_280014700","LmjF.28.0910","","","",""
"group_3134","","","3","3","1","1","2104","1","1207","","569","569","569","LdBPK_281010.1","LINF_280014800","LmjF.28.0920","","","",""
"group_3135","","","3","3","1","1","2107","1","1211","","722","722","722","LdBPK_281070.1","LINF_280015400","LmjF.28.0980","","","",""
"group_3136","","","3","3","1","1","2108","1","1212","","1250","1250","1250","LdBPK_281080.1","LINF_280015500","LmjF.28.0990","","","",""
"group_3137","","","3","3","1","1","2111","1","1213","","2819","3182","2940","LdBPK_281090.1","LINF_280015600","LmjF.28.1000","","","",""
"group_3138","","","3","3","1","1","2112","1","1214","","1883","1883","1883","LdBPK_281110.1","LINF_280015800","LmjF.28.1020","","","",""
"group_3139","","","3","3","1","1","2114","1","1216","","1226","1226","1226","LdBPK_281140.1","LINF_280016100","LmjF.28.1050","","","",""
"group_3140","","","3","3","1","1","2116","1","1217","","1217","1217","1217","LdBPK_281150.1","LINF_280016200","LmjF.28.1060","","","",""
"group_3141","","","3","3","1","1","2117","1","1219","","2168","2168","2168","LdBPK_281170.1","LINF_280016400","LmjF.28.1080","","","",""
"group_3142","","","3","3","1","1","2118","1","1220","","2357","2648","2454","LdBPK_281180.1","LINF_280016500","LmjF.28.1090","","","",""
"group_3143","","","3","3","1","1","2120","1","1222","","2546","2555","2549","LdBPK_281200.1","LINF_280016700","LmjF.28.1100","","","",""
"group_3144","","","3","3","1","1","2122","1","1224","","764","764","764","LdBPK_281220.1","LINF_280016900","LmjF.28.1120","","","",""
"group_3145","","","3","3","1","1","2123","1","1225","","1559","1559","1559","LdBPK_281230.1","LINF_280017000","LmjF.28.1130","","","",""
"group_3146","","","3","3","1","1","2124","1","1226","","977","977","977","LdBPK_281240.1","LINF_280017100","LmjF.28.1140","","","",""
"group_3147","","","3","3","1","1","2125","1","1227","","2225","2225","2225","LdBPK_281250.1","LINF_280017200","LmjF.28.1150","","","",""
"group_3148","","","3","3","1","1","2130","1","797","","1526","1526","1526","LdBPK_281300.1","LINF_280017700","LmjF.28.1190","","","",""
"group_3149","","","3","3","1","1","2132","1","795","","2354","2366","2359","LdBPK_281320.1","LINF_280017900","LmjF.28.1210","","","",""
"group_3150","","","3","3","1","1","2134","1","793","","1241","1241","1241","LdBPK_281340.1","LINF_280018100","LmjF.28.1230","","","",""
"group_3151","","","3","3","1","1","2135","1","792","","1937","1937","1937","LdBPK_281350.1","LINF_280018200","LmjF.28.1240","","","",""
"group_3153","","","3","3","1","1","2138","1","788","","1319","1319","1319","LdBPK_281400.1","LINF_280018700","LmjF.28.1290","","","",""
"group_3154","","","3","3","1","1","2139","1","787","","1196","1196","1196","LdBPK_281410.1","LINF_280018800","LmjF.28.1300","","","",""
"group_3155","","","3","3","1","1","2142","1","784","","1049","1052","1051","LdBPK_281440.1","LINF_280019100","LmjF.28.1330","","","",""
"group_3156","","","3","3","1","1","2143","1","783","","566","566","566","LdBPK_281450.1","LINF_280019200","LmjF.28.1340","","","",""
"group_3157","","","3","3","1","1","2145","1","781","","869","869","869","LdBPK_281470.1","LINF_280019400","LmjF.28.1360","","","",""
"group_3158","","","3","3","1","1","2146","1","780","","854","854","854","LdBPK_281480.1","LINF_280019500","LmjF.28.1370","","","",""
"group_3159","","","3","3","1","1","2147","1","779","","1208","1208","1208","LdBPK_281490.1","LINF_280019600","LmjF.28.1380","","","",""
"group_3160","","","3","3","1","1","2148","1","778","","1028","1028","1028","LdBPK_281500.1","LINF_280019700","LmjF.28.1390","","","",""
"group_3161","","","3","3","1","1","2149","1","777","","1622","1622","1622","LdBPK_281510.1","LINF_280019800","LmjF.28.1400","","","",""
"group_3162","","","3","3","1","1","2150","1","776","","1196","1196","1196","LdBPK_281520.1","LINF_280019900","LmjF.28.1405","","","",""
"group_3163","","","3","3","1","1","2151","1","775","","2255","2264","2260","LdBPK_281530.1","LINF_280020000","LmjF.28.1410","","","",""
"group_3164","","","3","3","1","1","2154","1","772","","2177","2177","2177","LdBPK_281560.1","LINF_280020300","LmjF.28.1440","","","",""
"group_3167","","","3","3","1","1","2158","1","768","","416","416","416","LdBPK_281610.1","LINF_280020800","LmjF.28.1490","","","",""
"group_3168","","","3","3","1","1","2159","1","767","","398","398","398","LdBPK_281620.1","LINF_280020900","LmjF.28.1500","","","",""
"group_3169","","","3","3","1","1","2160","1","766","","383","383","383","LdBPK_281630.1","LINF_280021000","LmjF.28.1510","","","",""
"group_317","","","3","3","1","1","874","1","536","","983","3359","2567","LdBPK_070720.1","LINF_070012100","LmjF.07.0650","","","",""
"group_3170","","","3","3","1","1","2162","1","764","","2570","2582","2578","LdBPK_281670.1","LINF_280021400","LmjF.28.1540","","","",""
"group_3171","","","3","3","1","1","2163","1","763","","719","872","770","LdBPK_281680.1","LINF_280021500","LmjF.28.1550","","","",""
"group_3172","","","3","3","1","1","2164","1","762","","1685","1685","1685","LdBPK_281690.1","LINF_280021600","LmjF.28.1560","","","",""
"group_3173","","","3","3","1","1","2165","1","761","","1040","1040","1040","LdBPK_281700.1","LINF_280021800","LmjF.28.1570","","","",""
"group_3174","","","3","3","1","1","2166","1","760","","1247","1247","1247","LdBPK_281710.1","LINF_280022100","LmjF.28.1580","","","",""
"group_3175","","","3","3","1","1","2167","1","758","","1280","1280","1280","LdBPK_281720.1","LINF_280022200","LmjF.28.1590","","","",""
"group_3177","","","3","3","1","1","2169","1","755","","4109","4121","4116","LdBPK_281770.1","LINF_280022800","LmjF.28.1640","","","",""
"group_3178","","","3","3","1","1","2170","1","754","","2552","2555","2553","LdBPK_281780.1","LINF_280022900","LmjF.28.1650","","","",""
"group_3179","","","3","3","1","1","2171","1","753","","3971","3971","3971","LdBPK_281800.1","LINF_280023100","LmjF.28.1670","","","",""
"group_3180","","","3","3","1","1","2172","1","751","","5960","6059","6018","LdBPK_281810.1","LINF_280023200","LmjF.28.1690","","","",""
"group_3181","","","3","3","1","1","2173","1","750","","1394","1457","1415","LdBPK_281820.1","LINF_280023300","LmjF.28.1700","","","",""
"group_3182","","","3","3","1","1","2174","1","749","","1838","1859","1852","LdBPK_281840.1","LINF_280023500","LmjF.28.1720","","","",""
"group_3183","","","3","3","1","1","2179","1","745","","890","1202","994","LdBPK_281890.1","LINF_280024000","LmjF.28.1770","","","",""
"group_3184","","","3","3","1","1","2184","1","738","","3797","3812","3802","LdBPK_281950.1","LINF_280024600","LmjF.28.1830","","","",""
"group_3185","","","3","3","1","1","2185","1","737","","677","719","691","LdBPK_281960.1","LINF_280024700","LmjF.28.1840","","","",""
"group_3186","","","3","3","1","1","2188","1","734","","2015","2018","2016","LdBPK_281990.1","LINF_280025000","LmjF.28.1870","","","",""
"group_3187","","","3","3","1","1","2189","1","733","","3782","3785","3783","LdBPK_282000.1","LINF_280025100","LmjF.28.1880","","","",""
"group_3188","","","3","3","1","1","2190","1","732","","1373","1373","1373","LdBPK_282010.1","LINF_280025200","LmjF.28.1890","","","",""
"group_3189","","","3","3","1","1","2191","1","731","","1730","1736","1734","LdBPK_282020.1","LINF_280025400","LmjF.28.1900","","","",""
"group_319","","","3","3","1","1","895","1","558","","3353","7229","5522","LdBPK_070950.1","LINF_070014400","LmjF.07.0820","","","",""
"group_3190","","","3","3","1","1","2192","1","730","","2033","2033","2033","LdBPK_282030.1","LINF_280025500","LmjF.28.1910","","","",""
"group_3191","","","3","3","1","1","2193","1","729","","341","341","341","LdBPK_282040.1","LINF_280025600","LmjF.28.1920","","","",""
"group_3192","","","3","3","1","1","2194","1","728","","1334","1394","1372","LdBPK_282050.1","LINF_280025700","LmjF.28.1930","","","",""
"group_3194","","","3","3","1","1","2195","1","724","","2291","2561","2381","LdBPK_282090.1","LINF_280026100","LmjF.28.1960","","","",""
"group_3195","","","3","3","1","1","2196","1","723","","518","518","518","LdBPK_282100.1","LINF_280026200","LmjF.28.1970","","","",""
"group_3196","","","3","3","1","1","2197","1","722","","4280","4280","4280","LdBPK_282110.1","LINF_280026300","LmjF.28.1980","","","",""
"group_3197","","","3","3","1","1","2198","1","721","","2243","2261","2255","LdBPK_282120.1","LINF_280026400","LmjF.28.1990","","","",""
"group_3198","","","3","3","1","1","2199","1","720","","329","329","329","LdBPK_282130.1","LINF_280026500","LmjF.28.1995","","","",""
"group_3199","","","3","3","1","1","2200","1","719","","2630","2633","2631","LdBPK_282140.1","LINF_280026600","LmjF.28.2000","","","",""
"group_3202","","","3","3","1","1","2204","1","718","","1049","1049","1049","LdBPK_282250.1","LINF_280027700","LmjF.28.2100","","","",""
"group_3203","","","3","3","1","1","2205","1","714","","2300","2306","2302","LdBPK_282260.1","LINF_280027800","LmjF.28.2110","","","",""
"group_3205","","","3","3","1","1","2209","1","711","","2738","2738","2738","LdBPK_282340.1","LINF_280028600","LmjF.28.2190","","","",""
"group_3206","","","3","3","1","1","2210","1","708","","2843","2843","2843","LdBPK_282350.1","LINF_280028700","LmjF.28.2200","","","",""
"group_3210","","","3","3","1","1","2213","1","705","","2501","2501","2501","LdBPK_282380.1","LINF_280029000","LmjF.28.2220","","","",""
"group_3211","","","3","3","1","1","2215","1","704","","902","1118","974","LdBPK_282410.1","LINF_280029200","LmjF.28.2240","","","",""
"group_3212","","","3","3","1","1","2217","1","702","","668","668","668","LdBPK_282430.1","LINF_280029400","LmjF.28.2260","","","",""
"group_3213","","","3","3","1","1","2218","1","701","","1811","2300","1974","LdBPK_282440.1","LINF_280029500","LmjF.28.2270","","","",""
"group_3214","","","3","3","1","1","2219","1","700","","2510","2510","2510","LdBPK_282460.1","LINF_280029700","LmjF.28.2290","","","",""
"group_3215","","","3","3","1","1","2222","1","697","","2714","2714","2714","LdBPK_282490.1","LINF_280030000","LmjF.28.2320","","","",""
"group_3217","","","3","3","1","1","2224","1","695","","857","857","857","LdBPK_282510.1","LINF_280030400","LmjF.28.2350","","","",""
"group_3218","","","3","3","1","1","2226","1","693","","1424","1442","1430","LdBPK_282530.1","LINF_280030600","LmjF.28.2370","","","",""
"group_3219","","","3","3","1","1","2227","1","692","","5204","5210","5206","LdBPK_282540.1","LINF_280030700","LmjF.28.2380","","","",""
"group_3220","","","3","3","1","1","2228","1","691","","2642","2642","2642","LdBPK_282550.1","LINF_280030800","LmjF.28.2385","","","",""
"group_3221","","","3","3","1","1","2229","1","690","","4073","4073","4073","LdBPK_282560.1","LINF_280030900","LmjF.28.2390","","","",""
"group_3222","","","3","3","1","1","2230","1","689","","1043","1061","1055","LdBPK_282570.1","LINF_280031000","LmjF.28.2400","","","",""
"group_3223","","","3","3","1","1","2232","1","688","","2138","2189","2172","LdBPK_282580.1","LINF_280031100","LmjF.28.2410","","","",""
"group_3224","","","3","3","1","1","2233","1","686","","1169","1169","1169","LdBPK_282600.1","LINF_280031300","LmjF.28.2420","","","",""
"group_3225","","","3","3","1","1","171","16","41","","878","878","878","LdBPK_282660.1","LINF_280031900","LmjF.28.2470","","","",""
"group_3226","","","3","3","1","1","170","16","42","","905","905","905","LdBPK_282670.1","LINF_280032000","LmjF.28.2480","","","",""
"group_3227","","","3","3","1","1","169","16","43","","1535","1553","1547","LdBPK_282680.1","LINF_280032100","LmjF.28.2490","","","",""
"group_3228","","","3","3","1","1","168","16","44","","1049","1049","1049","LdBPK_282690.1","LINF_280032200","LmjF.28.2500","","","",""
"group_3229","","","3","3","1","1","167","16","45","","1889","1889","1889","LdBPK_282700.1","LINF_280032300","LmjF.28.2510","","","",""
"group_3230","","","3","3","1","1","166","16","46","","1922","1922","1922","LdBPK_282710.1","LINF_280032400","LmjF.28.2520","","","",""
"group_3235","","","3","3","1","1","157","16","52","","2597","2597","2597","LdBPK_282820.1","LINF_280033500","LmjF.28.2620","","","",""
"group_3236","","","3","3","1","1","153","16","55","","1646","1646","1646","LdBPK_282850.1","LINF_280033800","LmjF.28.2650","","","",""
"group_3237","","","3","3","1","1","152","16","56","","440","701","527","LdBPK_282860.1","LINF_280033900","LmjF.28.2660","","","",""
"group_3238","","","3","3","1","1","150","16","58","","1112","1121","1118","LdBPK_282890.1","LINF_280034200","LmjF.28.2690","","","",""
"group_3239","","","3","3","1","1","149","16","59","","1391","1391","1391","LdBPK_282900.1","LINF_280034300","LmjF.28.2700","","","",""
"group_3240","","","3","3","1","1","143","16","67","","1784","2483","2017","LdBPK_282980.1","LINF_280034900","LmjF.28.2760","","","",""
"group_3241","","","3","3","1","1","136","16","70","","1496","1496","1496","LdBPK_283020.1","LINF_280036200","LmjF.28.2800","","","",""
"group_3242","","","3","3","1","1","135","16","71","","1988","1988","1988","LdBPK_283040.1","LINF_280036400","LmjF.28.2820","","","",""
"group_3243","","","3","3","1","1","134","16","72","","2834","3035","2901","LdBPK_283050.1","LINF_280036500","LmjF.28.2830","","","",""
"group_3244","","","3","3","1","1","133","16","73","","1319","1391","1343","LdBPK_283080.1","LINF_280036700","LmjF.28.2850","","","",""
"group_3245","","","3","3","1","1","132","16","74","","974","974","974","LdBPK_283090.1","LINF_280036800","LmjF.28.2860","","","",""
"group_3249","","","3","3","1","1","131","16","75","","428","1544","1172","LdBPK_283170.1","LINF_280037600","LmjF.28.2940","","","",""
"group_3250","","","3","3","1","1","130","16","4","","1010","1013","1011","LdBPK_283180.1","LINF_280037700","LmjF.28.2950","","","",""
"group_3251","","","3","3","1","6","168","6","82","","2015","2018","2017","LdBPK_290050.1","LINF_290005400","LmjF.29.0050","","","",""
"group_3252","","","3","3","1","6","172","6","84","","1709","1709","1709","LdBPK_290170.1","LINF_290006500","LmjF.29.0160","","","",""
"group_3253","","","3","3","1","6","173","6","85","","413","413","413","LdBPK_290180.1","LINF_290006600","LmjF.29.0170","","","",""
"group_3256","","","3","3","1","6","176","6","88","","4730","4745","4740","LdBPK_290210.1","LINF_290006900","LmjF.29.0200","","","",""
"group_3257","","","3","3","1","6","177","6","89","","803","803","803","LdBPK_290220.1","LINF_290007000","LmjF.29.0210","","","",""
"group_3258","","","3","3","1","6","178","6","90","","647","647","647","LdBPK_290240.1","LINF_290007200","LmjF.29.0230","","","",""
"group_3259","","","3","3","1","6","180","6","91","","1616","1616","1616","LdBPK_290250.1","LINF_290007300","LmjF.29.0240","","","",""
"group_326","","","3","3","1","11","18","11","29","","374","404","394","LdBPK_090180.1","LINF_090006700","LmjF.09.0152","","","",""
"group_3260","","","3","3","1","6","181","6","93","","959","959","959","LdBPK_290260.1","LINF_290007500","LmjF.29.0250","","","",""
"group_3261","","","3","3","1","6","182","6","94","","1787","1853","1831","LdBPK_290270.1","LINF_290007600","LmjF.29.0260","","","",""
"group_3262","","","3","3","1","6","184","6","96","","1475","1475","1475","LdBPK_290290.1","LINF_290007800","LmjF.29.0280","","","",""
"group_3263","","","3","3","1","6","188","6","100","","1013","1313","1113","LdBPK_290310.1","LINF_290008000","LmjF.29.0300","","","",""
"group_3264","","","3","3","1","6","193","6","103","","779","782","781","LdBPK_290400.1","LINF_290008900","LmjF.29.0390","","","",""
"group_3265","","","3","3","1","6","196","6","106","","1694","1694","1694","LdBPK_290440.1","LINF_290009300","LmjF.29.0430","","","",""
